X (m),Y (m),Z (m),RX_sim,delta
23.483,20.683,2029,-57.71,-9.89
20.347,20.621,2029,-57.44,-9.96
17.112,20.672,2029,-57.2,-8.4
13.88,20.945,2029,-56.99,-7.81
10.649,21.217,2029,-56.79,-11.01
7.517,21.378,2029,-56.64,-10.66
4.282,21.429,2029,-56.51,-11.79
1.146,21.367,2029,-56.45,-11.95
-2.089,21.418,2029,-56.39,-13.01
-5.119,21.688,2029,-56.43,-15.67
-8.253,21.737,2029,-56.5,-18.3
-11.488,21.788,2029,-56.68,-18.72
-14.524,21.614,2029,-56.97,-18.53
-17.656,21.774,2029,-56.86,-14.54
-20.89,21.936,2029,-57.89,-12.41
-24.02,22.207,2029,-58.83,-9.97
-27.152,22.367,2029,-59.86,-7.94
-30.386,22.529,2029,-61.32,-4.88
-33.52,22.579,2029,-63.68,-0.12
-36.654,22.628,2029,-66.76,3.36
-39.789,22.567,2029,-70.06,8.06
-42.925,22.505,2029,-73.96,16.46
-46.059,22.555,2029,-71.18,17.78
-49.294,22.606,2029,-67.52,14.62
-55.562,22.705,2029,-64.33,10.03
-58.797,22.756,2029,-64.5,8.2
-61.933,22.694,2029,-66.04,3.94
-68.403,22.796,2029,-74.52,12.42
-71.539,22.735,2029,-81.8,16.3
-74.774,22.786,2029,-81.31,15.81
-78.009,22.837,2029,-81.51,12.41
-81.143,22.886,2029,-80.48,13.68
-84.279,22.825,2029,-85.66,24.36
-87.512,22.987,2029,-86.44,21.74
-90.646,23.036,2029,-86.59,19.79
-93.883,22.976,2029,-88.2,14.6
-97.017,23.026,2029,-87.93,15.93
-100.252,23.077,2029,-90.22,19.12
-103.386,23.126,2029,-90.25,15.35
-106.52,23.176,2029,-89.87,17.07
-109.753,23.338,2029,-87.72,17.52
-112.88,23.83,2029,-85.01,12.41
-115.514,23.539,2029,-84.71,12.81
-117.353,22.349,2029,-85.82,14.92
-118.265,15.826,2029,-87.27,16.97
-117.104,12.484,2029,-93.09,20.69
-115.016,10.235,2029,-90.63,19.23
-112.093,9.635,2029,-91.51,23.41
-108.343,10.13,2029,-88.66,16.76
-104.589,10.957,2029,-83.31,12.81
-101.042,11.455,2029,-87.62,17.72
-97.601,11.622,2029,-94.15,25.85
-91.026,11.74,2029,-82.84,17.34
-87.688,11.798,2029,-81.05,16.95
-84.452,11.858,2029,-76.86,11.96
-81.316,11.919,2029,-68.0,-1.8
-78.182,11.87,2029,-63.42,-4.88
-74.945,11.93,2029,-62.63,-5.57
-71.706,12.1,2029,-68.97,0.57
-68.47,12.16,2029,-68.8,0.4
-62.101,12.06,2029,-56.62,-12.98
-59.066,12.123,2029,-55.22,-12.98
-55.932,12.073,2029,-55.19,-7.01
-52.798,12.024,2029,-56.17,-1.13
-49.765,11.976,2029,-57.88,0.48
-46.528,12.036,2029,-60.94,2.54
-43.394,11.986,2029,-66.48,4.78
-40.26,11.937,2029,-78.06,12.36
-37.025,11.886,2029,-73.36,4.46
-33.89,11.947,2029,-65.27,-6.63
-30.754,12.009,2029,-62.08,-11.82
-27.418,11.956,2029,-59.94,-15.56
-24.282,12.017,2029,-58.69,-16.71
-21.047,11.966,2029,-57.87,-17.43
-17.911,12.028,2029,-57.19,-17.31
-14.676,11.977,2029,-56.63,-18.57
-11.439,12.036,2029,-56.35,-18.75
-8.204,11.985,2029,-56.29,-18.21
-4.971,11.824,2029,-56.26,-14.84
-1.734,11.883,2029,-56.29,-12.01
1.4,11.834,2029,-55.53,-12.67
4.534,11.785,2029,-54.55,-10.95
7.668,11.735,2029,-56.7,-8.8
10.903,11.684,2029,-56.89,-7.91
14.037,11.635,2029,-57.17,-7.33
17.171,11.585,2029,-57.37,-7.33
20.305,11.536,2029,-57.57,-7.13
23.439,11.487,2029,-57.9,-7.8
26.571,11.326,2029,-58.23,-7.47
29.602,11.168,2029,-58.54,-7.66
32.736,11.118,2029,-58.81,-7.39
39.004,11.02,2029,-59.52,-6.88
42.238,10.858,2029,-59.83,-6.57
45.471,10.696,2029,-60.15,-8.25
48.605,10.647,2029,-60.47,-7.93
51.838,10.485,2029,-60.88,-7.72
54.972,10.436,2029,-61.26,-7.34
61.137,10.228,2029,-61.98,-8.82
64.374,10.287,2029,-62.16,-8.64
67.611,10.347,2029,-62.69,-9.11
70.747,10.408,2029,-62.91,-9.09
73.881,10.359,2029,-63.25,-9.05
77.116,10.308,2029,-63.73,-8.47
80.248,10.148,2029,-63.99,-11.71
83.385,10.32,2029,-64.37,-12.03
86.523,10.492,2029,-64.79,-13.51
89.043,10.009,2029,-65.12,-16.48
90.837,8.319,2029,-65.45,-5.45
91.698,5.203,2029,-65.81,-5.39
91.741,1.546,2029,-66.32,-15.38
90.675,-1.983,2029,-66.63,-11.37
88.719,-4.168,2029,-66.81,-10.09
85.879,-4.678,2029,-66.64,-14.66
82.247,-4.177,2029,-66.16,-14.44
78.519,-3.343,2029,-65.68,-13.82
74.987,-2.844,2029,-65.16,-14.34
71.553,-2.568,2029,-64.74,-13.86
68.219,-2.405,2029,-64.45,-13.05
64.986,-2.243,2029,-63.96,-15.44
61.649,-2.191,2029,-63.66,-17.64
58.313,-2.138,2029,-63.32,-14.38
54.977,-2.085,2029,-62.9,-15.0
51.74,-2.145,2029,-62.7,-15.7
48.404,-2.093,2029,-62.34,-16.16
45.167,-2.152,2029,-61.98,-17.02
41.829,-2.211,2029,-61.69,-17.31
38.594,-2.16,2029,-61.37,-17.73
35.258,-2.107,2029,-61.09,-17.31
32.023,-2.056,2029,-60.8,-17.8
28.788,-2.005,2029,-60.5,-16.4
25.654,-1.956,2029,-60.14,-15.96
22.422,-1.683,2029,-59.88,-15.82
19.189,-1.521,2029,-59.64,-13.86
12.717,-1.53,2029,-59.21,-14.39
9.585,-1.37,2029,-58.91,-14.99
6.453,-1.21,2029,-58.76,-14.14
3.221,-0.937,2029,-58.46,-14.94
0.089,-0.777,2029,-57.21,-15.49
-3.043,-0.617,2029,-57.31,-15.49
-6.177,-0.567,2029,-57.44,-14.86
-9.31,-0.407,2029,-57.42,-14.08
-12.545,-0.356,2029,-57.7,-13.1
-15.68,-0.418,2029,-58.06,-12.94
-18.814,-0.368,2029,-59.23,-12.27
-21.948,-0.319,2029,-59.78,-13.42
-24.98,-0.16,2029,-60.58,-11.72
-28.113,-0.111,2029,-61.89,-9.01
-31.349,-0.06,2029,-63.5,-6.0
-34.483,-0.01,2029,-65.22,-0.68
-37.615,0.15,2029,-68.12,3.12
-40.85,0.201,2029,-68.91,2.71
-43.984,0.25,2029,-66.92,2.82
-47.221,0.191,2029,-63.37,-0.63
-50.355,0.24,2029,-60.81,-2.89
-53.59,0.291,2029,-58.93,-4.67
-56.725,0.23,2029,-58.29,-7.11
-59.961,0.281,2029,-58.68,-6.22
-63.096,0.219,2029,-61.09,-7.81
-69.465,0.32,2029,-84.88,16.78
-72.599,0.369,2029,-66.09,-2.01
-75.735,0.308,2029,-64.05,2.95
-78.968,0.47,2029,-66.19,6.69
-82.101,0.63,2029,-73.11,12.31
-85.235,0.679,2029,-76.55,7.25
-88.369,0.729,2029,-85.05,16.45
-91.604,0.78,2029,-80.36,3.56
-94.736,0.94,2029,-76.57,3.67
-97.971,0.991,2029,-99.12,21.92
-101.206,1.042,2029,-93.03,16.63
-104.34,1.091,2029,-91.12,13.02
-107.573,1.253,2029,-94.48,12.88
-110.803,1.636,2029,-91.91,12.61
-113.932,2.018,2029,-92.37,17.67
-116.367,1.503,2029,-88.67,14.27
-118.013,-0.244,2029,-87.74,13.34
-118.771,-3.446,2029,-89.41,12.41
-116.96,-10.455,2029,-87.53,14.73
-114.767,-12.484,2029,-90.03,16.13
-111.742,-12.975,2029,-89.31,17.61
-107.888,-12.26,2029,-100.59,27.99
-104.236,-11.542,2029,-101.18,29.38
-100.689,-11.044,2029,-96.32,26.32
-97.248,-10.877,2029,-90.36,25.96
-93.811,-10.931,2029,-89.71,24.61
-90.475,-10.983,2029,-91.62,30.52
-87.137,-10.925,2029,-96.43,34.63
-83.9,-10.866,2029,-80.71,18.31
-80.665,-10.917,2029,-84.27,20.37
-77.428,-10.857,2029,-82.17,18.77
-74.191,-10.797,2029,-79.5,14.9
-70.853,-10.739,2029,-74.98,9.98
