X (m),Y (m),Z (m),RX_sim,delta
-156.402,66.179,1987.5,-86.23,6.43
-159.037,65.778,1987.5,-85.22,8.82
-161.771,65.599,1987.5,-96.0,26.7
-164.505,65.31,1987.5,-96.19,26.19
-167.141,64.908,1987.5,-95.71,28.41
-169.576,64.393,1987.5,-96.03,27.33
-171.908,63.986,1987.5,-93.66,27.96
-174.242,63.469,1987.5,-96.95,29.05
-176.878,63.067,1987.5,-96.1,23.2
-179.713,62.78,1987.5,-90.37,16.27
-182.75,62.606,1987.5,-92.87,18.47
-185.784,62.543,1987.5,-90.28,16.58
-188.512,62.697,1987.5,-94.47,20.77
-191.238,62.961,1987.5,-91.28,17.58
-193.764,63.112,1987.5,-85.35,11.65
-196.187,63.372,1987.5,-91.7,18.0
-198.615,63.3,1987.5,-92.35,-11.75
-141.841,-81.31,1971.5,-76.5,-15.1
-143.532,-79.51,1971.5,-76.93,-12.57
-145.221,-77.6,1971.5,-77.02,-12.58
-146.809,-75.691,1971.5,-77.68,-9.62
-148.399,-73.893,1971.5,-77.14,-11.56
-149.784,-71.988,1971.5,-80.05,-8.25
-151.172,-70.193,1970.5,-84.87,-0.73
-152.256,-68.403,1972.5,-78.05,-7.35
-153.439,-66.501,1972.5,-77.9,-8.5
-154.42,-64.601,1972.5,-77.48,-5.72
-156.285,-61.026,1972.5,-78.35,-5.95
-157.369,-59.236,1972.5,-120.0,37.4
-158.352,-57.448,1972.5,-84.11,0.51
-159.233,-55.55,1972.5,-83.1,-4.0
-160.081,-51.659,1972.5,-83.22,-5.78
-160.454,-49.658,1972.5,-86.37,-0.03
-160.625,-47.661,1972.5,-84.03,-3.47
-160.695,-45.666,1972.5,-84.05,-5.35
-160.562,-43.673,1972.5,-83.43,-3.47
-160.227,-41.684,1972.5,-79.73,-3.97
-159.79,-39.586,1972.5,-81.15,-2.75
-159.251,-37.489,1975.5,-74.54,-9.66
-158.712,-35.392,1975.5,-85.34,0.44
-158.074,-33.408,1975.5,-78.69,-3.61
-157.335,-31.425,1975.5,-79.14,-2.56
-155.456,-27.687,1975.5,-76.16,-6.54
-154.319,-26.154,1975.5,-77.31,-5.39
-152.779,-24.627,1975.5,-77.71,-5.89
-151.14,-23.323,1975.5,-77.48,-1.32
-149.404,-22.242,1975.5,-77.72,-42.28
-147.567,-21.163,1975.5,-78.15,-1.95
-145.729,-20.084,1975.5,-78.05,11.15
-143.89,-18.894,1975.5,-76.48,5.78
-142.052,-17.705,1975.5,-77.39,0.49
-140.118,-16.959,1975.5,-76.12,-1.68
-138.393,-16.543,1975.5,-77.13,-0.67
-136.57,-16.351,1975.5,-75.73,-0.47
-134.745,-16.047,1975.5,-78.05,6.15
-132.918,-15.633,1975.5,-78.66,1.76
-131.086,-14.886,1975.5,-78.21,-2.19
-129.359,-14.359,1975.5,-77.79,2.29
-127.629,-13.722,1975.5,-78.32,4.22
-125.693,-12.755,1975.5,-78.64,2.04
-123.756,-11.788,1975.5,-74.56,-3.04
-122.118,-10.484,1975.5,-73.32,-5.68
-120.878,-8.842,1976.5,-80.2,6.7
-120.24,-6.857,1980.5,-73.71,-0.69
-119.803,-4.759,1980.5,-72.1,-4.4
-119.259,-2.33,1980.5,-82.19,5.69
-118.415,-0.127,1980.5,-74.39,-2.11
-117.169,1.958,1980.5,-62.85,-3.75
-113.981,5.343,1980.5,-59.84,-3.96
-112.241,6.645,1980.5,-59.47,-7.03
-110.404,7.724,1980.5,-58.82,-2.88
-108.567,8.803,1980.5,-59.85,-2.25
-106.831,9.884,1980.5,-59.94,-4.76
-104.993,10.963,1980.5,-59.18,-6.82
-103.254,12.265,1980.5,-60.34,-4.56
-101.415,13.455,1980.5,-61.17,-0.63
-99.776,14.759,1980.5,-60.79,-3.31
-98.037,16.061,1980.5,-61.09,-2.61
-96.194,17.473,1980.5,-62.0,-0.7
-94.455,18.775,1980.5,-61.97,-0.63
-92.511,20.185,1980.5,-62.69,1.49
-90.669,21.596,1980.5,-63.61,1.31
-88.927,23.009,1982.5,-61.21,-0.99
-87.085,24.421,1982.5,-61.69,0.09
-85.349,25.501,1982.5,-59.94,-1.16
-83.308,26.688,1982.5,-62.98,-1.12
-79.726,29.401,1982.5,-61.6,-2.0
-77.984,30.814,1982.5,-62.11,-1.29
-76.042,32.113,1982.5,-61.8,-1.3
-74.104,33.191,1982.5,-62.91,-1.09
-70.445,34.352,1982.5,-63.81,0.71
-69.028,34.441,1982.5,-65.03,2.63
-67.428,33.307,1982.5,-69.45,6.85
-65.738,31.508,1982.5,-120.0,57.8
-64.352,29.602,1984.5,-63.03,0.33
-62.865,27.695,1984.5,-62.29,-3.21
-61.073,25.894,1984.5,-60.88,-3.22
-59.28,24.204,1984.5,-58.8,-3.9
-57.588,22.515,1984.5,-56.66,-8.64
-55.899,20.605,1983.5,-120.0,57.4
-54.004,18.913,1983.5,-54.26,-9.64
-52.617,17.118,1983.5,-52.73,-13.27
-51.63,15.551,1983.5,-51.86,-9.94
-50.738,14.429,1983.5,-51.19,-10.81
-49.378,10.862,1983.5,-50.44,-13.36
-49.917,8.765,1983.5,-50.57,-11.93
-51.568,6.686,1983.5,-51.62,-10.68
-53.515,5.054,1983.5,-57.17,-6.63
-55.864,3.54,1983.5,-55.74,-6.16
-58.317,1.917,1983.5,-59.02,-4.18
-60.874,0.073,1983.5,-57.88,-5.92
-63.431,-1.77,1983.5,-55.74,-3.36
